religion,bush,female,unionhouse,partyid,eval_WoT,eval_HoE,ideology,bush_therm,education,income
7.0,0.0,0.0,1.0,3.0,,0.0,4.0,70.0,7.0,17.0
1.0,0.0,0.0,0.0,2.0,-1.0,-1.0,4.0,40.0,4.0,19.0
1.0,1.0,1.0,0.0,6.0,2.0,2.0,6.0,100.0,6.0,23.0
1.0,,0.0,0.0,3.0,-2.0,-1.0,4.0,50.0,2.0,3.0
1.0,1.0,1.0,0.0,6.0,2.0,2.0,6.0,100.0,3.0,12.0
1.0,,0.0,0.0,3.0,-2.0,-2.0,6.0,60.0,7.0,12.0
2.0,1.0,1.0,0.0,6.0,2.0,2.0,6.0,85.0,6.0,14.0
1.0,0.0,1.0,0.0,1.0,-2.0,1.0,4.0,50.0,4.0,8.0
1.0,,0.0,0.0,2.0,-2.0,-1.0,3.0,30.0,7.0,23.0
1.0,1.0,1.0,0.0,6.0,2.0,2.0,6.0,100.0,7.0,23.0
1.0,,0.0,0.0,2.0,-1.0,-2.0,4.0,60.0,2.0,18.0
2.0,,1.0,0.0,2.0,2.0,,,70.0,3.0,5.0
1.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,100.0,4.0,16.0
1.0,1.0,1.0,0.0,5.0,-2.0,-2.0,4.0,60.0,3.0,10.0
7.0,0.0,1.0,0.0,2.0,,-2.0,2.0,20.0,6.0,
7.0,0.0,0.0,1.0,2.0,-2.0,-1.0,,0.0,6.0,23.0
1.0,,1.0,0.0,2.0,-2.0,-2.0,3.0,30.0,4.0,23.0
2.0,1.0,1.0,0.0,5.0,1.0,2.0,5.0,85.0,3.0,20.0
2.0,,1.0,1.0,3.0,-2.0,-2.0,,60.0,3.0,
1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,,60.0,4.0,5.0
6.0,1.0,1.0,0.0,6.0,-1.0,-2.0,3.0,0.0,6.0,19.0
7.0,,1.0,1.0,2.0,-2.0,-2.0,1.0,0.0,6.0,17.0
7.0,1.0,0.0,0.0,5.0,1.0,-2.0,6.0,40.0,4.0,18.0
1.0,1.0,0.0,0.0,6.0,2.0,2.0,6.0,90.0,6.0,14.0
1.0,,1.0,0.0,1.0,-2.0,-2.0,,50.0,1.0,5.0
1.0,0.0,1.0,0.0,1.0,-2.0,-1.0,,50.0,3.0,14.0
1.0,,0.0,1.0,0.0,2.0,-2.0,5.0,40.0,3.0,13.0
2.0,,1.0,1.0,1.0,-2.0,-1.0,,30.0,4.0,10.0
1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,,0.0,3.0,10.0
