v960066,v960067,v960070,v960071,v960073,v960115,v960119,v960272,v960281,v960284,v960292,v960293,v960365,v960385,v960420,v960568,v960571,v960605,v960606,v960610,v960701,v961039,v961300,religion
1.0,1.0,3.0,3.0,2.0,1.0,574.0,0.0,0.0,85.0,0.0,85.0,6.0,3.0,4.0,3.0,2.0,32.0,3.0,3.0,21.0,70.0,5.0,2.0
1.0,1.0,2.0,2.0,1.0,1.0,0.0,60.0,30.0,70.0,30.0,60.0,5.0,1.0,5.0,4.0,1.0,42.0,1.0,6.0,22.0,50.0,5.0,2.0
1.0,1.0,2.0,2.0,2.0,1.0,0.0,70.0,85.0,15.0,70.0,30.0,2.0,1.0,2.0,4.0,2.0,53.0,1.0,6.0,24.0,70.0,5.0,9.0
1.0,1.0,2.0,2.0,3.0,1.0,0.0,30.0,40.0,60.0,40.0,60.0,5.0,3.0,5.0,1.0,2.0,31.0,1.0,7.0,21.0,50.0,5.0,9.0
2.0,1.0,4.0,2.0,3.0,1.0,0.0,40.0,60.0,30.0,40.0,60.0,4.0,3.0,4.0,4.0,1.0,34.0,1.0,6.0,21.0,50.0,5.0,2.0
1.0,1.0,3.0,3.0,4.0,1.0,7323.0,70.0,15.0,60.0,40.0,60.0,4.0,5.0,5.0,2.0,1.0,73.0,1.0,1.0,,,,9.0
2.0,1.0,2.0,2.0,2.0,1.0,7323.0,0.0,15.0,30.0,30.0,70.0,3.0,3.0,1.0,4.0,1.0,40.0,1.0,7.0,24.0,,,2.0
2.0,1.0,1.0,1.0,1.0,1.0,23.0,40.0,50.0,60.0,40.0,85.0,4.0,1.0,1.0,3.0,1.0,48.0,1.0,4.0,,85.0,5.0,2.0
2.0,1.0,1.0,1.0,1.0,1.0,23.0,90.0,100.0,15.0,90.0,30.0,2.0,1.0,0.0,4.0,1.0,49.0,1.0,7.0,24.0,85.0,1.0,1.0
2.0,2.0,3.0,3.0,3.0,1.0,7323.0,85.0,70.0,0.0,60.0,0.0,,3.0,1.0,3.0,1.0,76.0,2.0,5.0,11.0,30.0,5.0,1.0
1.0,1.0,2.0,2.0,1.0,1.0,7323.0,85.0,100.0,0.0,85.0,70.0,5.0,1.0,1.0,5.0,1.0,19.0,5.0,4.0,11.0,85.0,5.0,7.0
1.0,1.0,3.0,3.0,3.0,1.0,7323.0,40.0,15.0,60.0,15.0,50.0,6.0,3.0,6.0,3.0,2.0,32.0,1.0,3.0,17.0,,,9.0
2.0,1.0,1.0,2.0,1.0,1.0,7323.0,85.0,85.0,0.0,100.0,0.0,4.0,1.0,0.0,4.0,1.0,44.0,5.0,5.0,18.0,,,2.0
1.0,1.0,4.0,3.0,3.0,1.0,6.0,50.0,60.0,40.0,50.0,60.0,5.0,5.0,4.0,4.0,2.0,39.0,3.0,3.0,17.0,60.0,5.0,9.0
2.0,1.0,2.0,1.0,3.0,1.0,9.0,85.0,60.0,0.0,60.0,40.0,,1.0,1.0,4.0,1.0,51.0,1.0,7.0,21.0,50.0,5.0,1.0
2.0,1.0,4.0,2.0,4.0,1.0,9.0,60.0,50.0,50.0,50.0,60.0,4.0,3.0,5.0,2.0,1.0,33.0,1.0,6.0,17.0,50.0,5.0,1.0
1.0,1.0,1.0,2.0,1.0,1.0,0.0,50.0,0.0,60.0,85.0,85.0,6.0,5.0,6.0,4.0,1.0,55.0,1.0,7.0,24.0,30.0,5.0,2.0
2.0,1.0,2.0,2.0,2.0,1.0,0.0,85.0,70.0,0.0,85.0,30.0,4.0,1.0,0.0,4.0,1.0,39.0,1.0,6.0,23.0,60.0,1.0,3.0
1.0,1.0,1.0,1.0,2.0,1.0,1586.0,15.0,0.0,70.0,30.0,70.0,4.0,3.0,6.0,2.0,1.0,56.0,5.0,7.0,24.0,15.0,5.0,1.0
2.0,2.0,2.0,2.0,2.0,1.0,1586.0,50.0,40.0,20.0,40.0,30.0,,5.0,0.0,5.0,1.0,60.0,4.0,5.0,6.0,100.0,1.0,7.0
2.0,1.0,4.0,3.0,3.0,1.0,19.0,70.0,85.0,,70.0,60.0,5.0,1.0,1.0,2.0,1.0,32.0,3.0,4.0,17.0,85.0,5.0,2.0
2.0,1.0,3.0,3.0,3.0,1.0,19.0,50.0,0.0,70.0,60.0,85.0,4.0,5.0,4.0,4.0,1.0,71.0,1.0,3.0,6.0,,,2.0
2.0,4.0,3.0,2.0,3.0,2.0,37.0,70.0,70.0,50.0,85.0,70.0,4.0,1.0,2.0,4.0,1.0,51.0,1.0,6.0,16.0,70.0,5.0,1.0
2.0,1.0,2.0,3.0,1.0,2.0,14.0,85.0,60.0,0.0,70.0,30.0,3.0,1.0,0.0,3.0,1.0,62.0,1.0,6.0,21.0,85.0,5.0,2.0
2.0,1.0,3.0,2.0,2.0,2.0,42.0,70.0,60.0,30.0,70.0,40.0,3.0,1.0,0.0,2.0,1.0,32.0,1.0,7.0,23.0,70.0,5.0,2.0
1.0,2.0,3.0,3.0,3.0,2.0,2784.0,75.0,85.0,0.0,60.0,0.0,3.0,3.0,0.0,1.0,2.0,39.0,5.0,3.0,1.0,,,9.0
1.0,2.0,3.0,3.0,3.0,2.0,2784.0,100.0,70.0,10.0,100.0,0.0,4.0,3.0,0.0,1.0,1.0,41.0,3.0,3.0,12.0,,,1.0
1.0,1.0,3.0,3.0,3.0,2.0,33.0,30.0,0.0,50.0,70.0,70.0,6.0,3.0,5.0,2.0,1.0,51.0,2.0,4.0,1.0,50.0,5.0,2.0
1.0,1.0,3.0,3.0,2.0,2.0,33.0,50.0,0.0,25.0,0.0,100.0,6.0,3.0,6.0,3.0,1.0,88.0,2.0,2.0,12.0,60.0,5.0,2.0
2.0,1.0,2.0,2.0,2.0,2.0,5.0,85.0,70.0,40.0,85.0,15.0,4.0,1.0,0.0,4.0,1.0,32.0,5.0,5.0,16.0,60.0,1.0,9.0
2.0,1.0,3.0,2.0,3.0,2.0,71.0,70.0,30.0,,70.0,70.0,,3.0,5.0,2.0,1.0,58.0,1.0,2.0,9.0,100.0,5.0,9.0
