presap,year_month
53.5,1978-01-01
48.5,1978-02-01
49.0,1978-03-01
40.5,1978-04-01
42.0,1978-05-01
43.0,1978-06-01
39.5,1978-07-01
40.6,1978-08-01
45.0,1978-09-01
49.0,1978-10-01
52.0,1978-11-01
50.5,1978-12-01
46.5,1979-01-01
39.5,1979-02-01
42.6,1979-03-01
40.0,1979-04-01
34.5,1979-05-01
28.6,1979-06-01
29.0,1979-07-01
32.6,1979-08-01
31.5,1979-09-01
30.0,1979-10-01
40.3,1979-11-01
54.0,1979-12-01
57.0,1980-01-01
53.5,1980-02-01
41.0,1980-03-01
39.0,1980-04-01
39.6,1980-05-01
31.5,1980-06-01
33.0,1980-07-01
32.0,1980-08-01
37.0,1980-09-01
34.0,1980-10-01
31.0,1980-11-01
34.0,1980-12-01
51.0,1981-01-01
55.0,1981-02-01
60.0,1981-03-01
67.0,1981-04-01
68.0,1981-05-01
58.6,1981-06-01
58.6,1981-07-01
56.0,1981-08-01
55.0,1981-09-01
54.5,1981-10-01
51.5,1981-11-01
49.0,1981-12-01
48.0,1982-01-01
47.0,1982-02-01
46.0,1982-03-01
44.0,1982-04-01
45.0,1982-05-01
44.5,1982-06-01
41.5,1982-07-01
41.5,1982-08-01
42.0,1982-09-01
42.0,1982-10-01
43.0,1982-11-01
41.0,1982-12-01
36.3,1983-01-01
40.0,1983-02-01
41.0,1983-03-01
42.0,1983-04-01
44.5,1983-05-01
45.0,1983-06-01
43.0,1983-07-01
43.3,1983-08-01
47.0,1983-09-01
47.0,1983-10-01
53.0,1983-11-01
54.0,1983-12-01
53.5,1984-01-01
55.0,1984-02-01
54.0,1984-03-01
54.0,1984-04-01
53.0,1984-05-01
54.0,1984-06-01
53.6,1984-07-01
54.0,1984-08-01
56.0,1984-09-01
58.0,1984-10-01
61.5,1984-11-01
59.0,1984-12-01
63.0,1985-01-01
60.0,1985-02-01
56.0,1985-03-01
52.0,1985-04-01
55.0,1985-05-01
58.0,1985-06-01
63.0,1985-07-01
61.0,1985-08-01
60.0,1985-09-01
63.0,1985-10-01
63.5,1985-11-01
63.0,1985-12-01
64.0,1986-01-01
63.5,1986-02-01
63.0,1986-03-01
62.0,1986-04-01
68.0,1986-05-01
62.5,1986-06-01
63.0,1986-07-01
61.0,1986-08-01
62.0,1986-09-01
63.0,1986-10-01
55.0,1986-11-01
47.5,1986-12-01
48.0,1987-01-01
46.5,1987-02-01
45.0,1987-03-01
48.0,1987-04-01
49.0,1987-05-01
50.0,1987-06-01
49.0,1987-07-01
47.0,1987-08-01
49.0,1987-09-01
51.0,1987-10-01
50.0,1987-11-01
49.0,1987-12-01
49.0,1988-01-01
49.7,1988-02-01
50.5,1988-03-01
50.0,1988-04-01
49.0,1988-05-01
49.5,1988-06-01
52.5,1988-07-01
53.0,1988-08-01
54.0,1988-09-01
51.0,1988-10-01
57.0,1988-11-01
63.0,1988-12-01
51.0,1989-01-01
63.0,1989-02-01
56.0,1989-03-01
58.0,1989-04-01
56.0,1989-05-01
70.0,1989-06-01
63.0,1989-07-01
69.0,1989-08-01
68.5,1989-09-01
68.0,1989-10-01
70.0,1989-11-01
75.0,1989-12-01
80.0,1990-01-01
73.0,1990-02-01
74.0,1990-03-01
69.5,1990-04-01
65.0,1990-05-01
69.0,1990-06-01
72.5,1990-07-01
76.0,1990-08-01
73.2,1990-09-01
65.7,1990-10-01
57.8,1990-11-01
57.5,1990-12-01
58.5,1991-01-01
82.1,1991-02-01
89.0,1991-03-01
82.5,1991-04-01
73.9,1991-05-01
72.9,1991-06-01
71.9,1991-07-01
70.6,1991-08-01
69.6,1991-09-01
64.6,1991-10-01
59.4,1991-11-01
52.2,1991-12-01
46.0,1992-01-01
41.0,1992-02-01
42.0,1992-03-01
42.0,1992-04-01
41.0,1992-05-01
38.0,1992-06-01
32.0,1992-07-01
42.0,1992-08-01
37.0,1992-09-01
34.0,1992-10-01
43.0,1992-11-01
49.0,1992-12-01
56.0,1993-01-01
55.0,1993-02-01
52.5,1993-03-01
55.0,1993-04-01
44.5,1993-05-01
40.7,1993-06-01
43.0,1993-07-01
44.0,1993-08-01
49.7,1993-09-01
48.3,1993-10-01
48.7,1993-11-01
53.0,1993-12-01
55.3,1994-01-01
53.0,1994-02-01
50.7,1994-03-01
49.5,1994-04-01
51.0,1994-05-01
46.3,1994-06-01
42.5,1994-07-01
41.0,1994-08-01
41.7,1994-09-01
43.7,1994-10-01
44.5,1994-11-01
41.3,1994-12-01
47.0,1995-01-01
45.5,1995-02-01
45.0,1995-03-01
48.0,1995-04-01
51.0,1995-05-01
47.0,1995-06-01
47.0,1995-07-01
46.0,1995-08-01
46.0,1995-09-01
47.5,1995-10-01
52.5,1995-11-01
51.0,1995-12-01
46.7,1996-01-01
53.0,1996-02-01
53.0,1996-03-01
55.0,1996-04-01
